Age,KM,FuelType,FuelType2,HP,MetColor,Automatic,CC,Doors,Weight
23,46986,0,0,90,1,0,2000,3,1165
23,72937,0,0,90,1,0,2000,3,1165
24,41711,0,0,90,1,0,2000,3,1165
26,48000,0,0,90,0,0,2000,3,1165
30,38500,0,0,90,0,0,2000,3,1170
32,61000,0,0,90,0,0,2000,3,1170
27,94612,0,0,90,1,0,2000,3,1245
30,75889,0,0,90,1,0,2000,3,1245
27,19700,1,1,192,0,0,1800,3,1185
23,71138,0,0,69,0,0,1900,3,1105
25,31461,1,1,192,0,0,1800,3,1185
22,43610,1,1,192,0,0,1800,3,1185
25,32189,1,1,192,0,0,1800,3,1185
31,23000,1,1,192,1,0,1800,3,1185
32,34131,1,1,192,1,0,1800,3,1185
28,18739,1,1,192,0,0,1800,3,1185
30,34000,1,1,192,1,0,1800,3,1185
24,21716,1,1,110,1,0,1600,3,1105
24,25563,1,1,110,0,0,1600,3,1065
30,64359,1,1,110,1,0,1600,3,1105
30,67660,1,1,110,1,0,1600,3,1105
29,43905,1,1,110,0,1,1600,3,1170
28,56349,1,1,110,1,0,1600,3,1120
28,32220,1,1,110,1,0,1600,3,1120
29,25813,1,1,110,1,0,1600,3,1120
25,28450,1,1,110,1,0,1600,3,1120
27,34545,1,1,110,1,0,1600,3,1120
29,41415,1,1,110,1,0,1600,3,1120
28,44142,1,1,110,0,0,1600,3,1120
30,11090,1,1,110,1,0,1600,3,1120
29,9750,1,1,97,1,0,1400,3,1100
22,35199,1,1,97,1,0,1400,3,1100
27,29510,1,1,97,1,0,1400,3,1100
26,32692,1,1,97,1,0,1400,3,1100
22,41000,1,1,97,1,0,1400,3,1100
26,43000,1,1,97,0,0,1400,3,1100
25,25000,1,1,97,0,0,1400,3,1100
23,10000,1,1,97,1,0,1400,3,1100
32,25329,1,1,97,1,0,1400,3,1100
27,27500,1,1,97,0,0,1400,3,1100
22,49059,1,1,97,0,0,1400,3,1100
27,44068,1,1,97,1,0,1400,3,1100
22,46961,1,1,97,0,0,1400,3,1100
27,110404,0,0,90,0,0,2000,5,1255
22,100250,0,0,90,0,0,2000,5,1255
23,84000,0,0,90,0,0,2000,5,1270
27,79375,0,0,90,1,0,2000,5,1255
22,75048,1,1,97,1,0,1400,5,1110
22,72215,0,0,90,1,0,2000,5,1255
31,64982,1,1,192,1,0,1800,5,1195
22,62636,0,0,90,1,0,2000,5,1255
30,57086,1,1,97,1,0,1400,5,1110
26,56000,1,1,110,1,1,1600,5,1180
27,49866,1,1,192,1,0,1800,5,1195
25,49163,1,1,110,0,1,1600,5,1165
32,45725,1,1,110,1,0,1600,5,1075
28,43210,1,1,97,0,0,1400,5,1110
26,43000,1,1,97,0,0,1400,5,1110
23,39704,1,1,110,1,1,1600,5,1180
30,38950,1,1,110,1,0,1600,5,1130
22,37400,1,1,97,1,0,1400,5,1110
27,37177,1,1,110,0,0,1600,5,1130
31,36544,1,1,110,1,0,1600,5,1130
30,33511,1,1,110,1,0,1600,5,1130
27,32809,1,1,97,1,0,1400,5,1110
26,32181,1,1,110,1,0,1600,5,1075
28,30993,1,1,110,1,0,1600,5,1130
22,30400,1,1,97,1,0,1400,5,1110
22,30000,0,0,110,1,0,2000,5,1275
25,29719,1,1,97,1,0,1400,5,1110
28,29206,1,1,97,1,0,1400,5,1110
32,29198,1,1,97,1,0,1400,5,1060
28,28817,1,1,110,1,0,1598,5,1130
23,28227,1,1,97,1,0,1400,5,1110
28,28000,1,1,110,0,0,1600,5,1130
23,28000,1,1,110,1,0,1600,5,1115
31,25266,1,1,110,1,0,1600,5,1130
27,23489,1,1,110,0,0,1600,5,1115
29,22575,1,1,110,1,0,1600,5,1115
30,22000,1,1,97,1,0,1400,5,1110
25,20019,1,1,110,1,1,1600,5,1180
29,20000,1,1,110,1,0,1600,5,1115
25,17003,1,1,97,1,0,1400,5,1110
31,16238,1,1,110,1,1,1600,5,1180
25,15414,1,1,97,1,0,1400,5,1110
28,8537,1,1,110,1,0,1600,5,1130
30,7000,1,1,97,1,0,1400,5,1100
20,66966,0,0,90,1,0,2000,3,1245
19,51884,1,1,97,1,0,1400,3,1100
19,50005,0,0,110,1,0,2000,3,1265
20,48110,1,1,97,1,0,1400,3,1100
20,37500,0,0,90,1,0,2000,3,1260
16,34472,0,0,90,1,0,1995,3,1260
20,33329,1,1,97,1,0,1400,3,1100
20,31850,1,1,110,0,0,1600,3,1120
17,30351,0,0,90,1,0,1995,3,1260
19,29435,1,1,97,1,0,1400,3,1100
19,25948,1,1,97,1,0,1400,3,1100
11,24500,1,1,110,1,0,1600,3,1120
