Gender1,Percent_SSC,SBoard1,SBoard2,Percent_HSC,HBoard1,HBoard2,SHSC1,SHSC2,Percent_Degree,Experience_Yrs,Percentile_ET,Percent_MBA,S1,S2,Marks_Communication,Marks_Projectwork,Marks_BOCA,Place
0,62,0,0,88,0,0,1,0,52,0,55,58.8,1,0,50,65,74,1
0,76.33,1,0,75.33,0,0,0,1,75.48,1,86.5,66.28,0,1,69,70,75,1
0,60,0,1,63,0,0,0,0,58,0,75,57.8,0,1,54,66,62,1
0,61,0,1,55,0,1,0,1,54,1,66,59.43,1,0,52,65,67,1
0,68,1,0,77,1,0,1,0,72.5,0,43.12,57.23,0,1,74,72,50,1
0,82.8,0,1,70.6,0,1,1,0,69.3,0,96.8,55.5,0,1,65,76,70,1
1,79.6,0,0,87,0,0,1,0,72.35,0,98.69,69.78,1,0,71,67,60,0
0,58,0,0,59,1,0,1,0,48,0,79,54.01,0,1,54,78,54,1
0,60,0,0,52.8,0,1,0,1,73.25,1,55,51.58,0,1,53,52,58,1
0,83,0,0,51,0,1,0,1,51,0,33,58.21,1,0,50,68,63,1
1,49,0,0,52.2,1,0,1,0,85,0,74.28,53.29,0,1,50,65,74,0
0,79,0,1,59,0,0,0,1,60,1,67,62.14,0,1,54,78,62,1
0,66,0,0,46,0,0,1,0,65,0,0,54.65,0,1,53,60,65,0
0,68.4,1,0,85.6,0,1,1,0,72,1,70,63.26,0,1,75,72,57,1
0,70,0,1,76,0,0,1,0,68,0,91.34,61.29,0,1,63,63,75,1
0,59,0,1,75,0,0,1,0,65,0,35,62.51,0,1,59,76,56,1
0,63,1,0,78,0,0,1,0,65,0,54,52.21,0,1,53,74,50,1
0,50,1,0,53,0,0,1,0,54,1,62,60.85,1,0,57,62,72,1
0,69,0,0,75,0,1,1,0,49,1,75,60.77,0,1,61,73,62,1
0,49,0,0,55,0,0,0,1,57,1,49,58.56,0,1,50,59,55,1
0,64.6,0,1,63.4,1,0,1,0,76.3,1,60,63.7,0,1,71,69,70,1
1,50,0,1,60,0,1,0,1,71,0,62,65.04,1,0,55,61,59,1
1,74,1,0,84,0,1,1,0,53,0,68,68.63,0,1,71,86,54,1
0,67,0,1,50,1,0,1,0,52,0,76,54.96,1,0,50,63,59,1
1,75,0,0,77,0,1,1,0,73,0,48,64.19,1,0,58,57,80,1
1,60,0,1,72,0,1,1,0,65,1,72,64.66,0,1,57,74,81,1
0,55,0,1,61.2,0,0,1,0,59.6,1,60,62.54,0,1,67,66,58,1
0,78,0,0,52,0,0,0,1,66,1,79,52.41,0,0,53,57,54,1
0,50.08,0,0,48.5,0,1,1,0,51.61,1,0,56.61,1,0,50,71,59,1
0,56,0,0,54,0,0,0,1,59,0,70,61.83,1,0,54,71,68,1
1,60,0,1,75,1,0,1,0,68,1,60,67.28,0,1,58,71,65,0
1,68,0,1,74,0,0,1,0,70,2,68,64.08,1,0,63,79,77,1
1,40,0,1,40,0,1,1,0,51,0,49,51.75,0,1,50,59,53,0
0,77.12,0,0,85,0,0,1,0,56.77,0,35,56.34,0,0,56,66,58,0
0,52,0,0,62,0,1,0,0,66,1,50.48,77.89,0,1,82,80,68,1
